question_id,question,type
1,Yaptığım işte hata yapmamaya özellikle dikkat ederim.,1
2,Kurallara uymak benim için çok önemlidir.,1
3,Kendi hatalarımı düzeltmek için kendimi eleştiririm.,1
4,İşimde her zaman en mükemmel sonucu elde etmeye çalışırım.,1
5,Başkalarının etik olmayan davranışları beni rahatsız eder.,1
6,Düzenli ve planlı çalışmak bana huzur verir.,1
7,Sorumluluklarım varken eğlenmek kendimi suçlu hissetmeme neden olur.,1
8,Kendi değerlerim ve inançlarıma göre tutarlı bir biçimde yaşamaya özen gösteririm.,1
9,Haksızlık veya adaletsizlik karşısında güçlü bir tepki gösteririm.,1
10,Hatalarımı kabullenmek genellikle zoruma gider.,1
11,Dinlenmek yerine sürekli gelişmeye odaklanırım.,1
12,Başkalarına yardım etmekten keyif alırım.,2
13,Çevremdekiler benden yardım istediğinde geri çevirmek zor gelir.,2
14,Sevildiğimi hissetmek için genellikle çok yardımcı olmam gerektiğini düşünürüm.,2
15,Kendimi ihmal etsem bile başkalarının ihtiyaçlarına öncelik veririm.,2
16,Çoğunlukla başkalarının duygularını kendi duygularımdan daha önemli görürüm.,2
17,Başkalarının beni takdir etmesi benim için önemlidir.,2
18,Sevdiğim insanların mutlu olması için elimden gelen her şeyi yaparım.,2
19,Yakın çevremle duygusal bağ kurmak benim için doğal bir ihtiyaçtır.,2
20,Biri bana ihtiyaç duymadığında endişelenirim.,2
21,Başkalarına yardım etmezsem kendimi suçlu hissederim.,2
22,Sevgi veya ilgi eksikliği hissettiğimde kendimi değersiz hissederim.,2
23,Başarıya ulaşmak benim için çok önemlidir.,3
24,Kendimi diğerlerinden farklı gösterecek başarılar elde etmek isterim.,3
25,Çoğu zaman başkalarının beni takdir etmesini isterim.,3
26,Bir hedefime ulaşamadığımda kendimi başarısız hissederim.,3
27,Rekabete girdiğimde kazanmak için çok çaba harcarım.,3
28,Başarılı biri izlenimi bırakmaya özen gösteririm.,3
29,Kendimi sürekli geliştirmek ve ilerletmek isterim.,3
30,Elde ettiğim başarıları gururla paylaşırım.,3
31,Bir hedef belirlediğimde ona ulaşana kadar çalışmaya devam ederim.,3
32,Bir işi başarabildiğimde çok değerli ve başarılı hissederim.,3
33,Kendimi değerli hissedebilmek için takdir edilmeye ihtiyaç duyarım.,3
34,Duygularım genellikle yoğun ve derindir.,4
35,Kendimi farklı ve özgün biri olarak göstermeye özen gösteririm.,4
36,Zaman zaman hüzünlü veya melankolik hissettiğimi fark ederim.,4
37,Kendi tarzımın benzersiz olduğuna inanmak hoşuma gider.,4
38,Sanatsal faaliyetlerde bulunmak benim için önemlidir.,4
39,Duygularımı açıkça ifade etmekten çekinmem.,4
40,Bazen başkalarının anlayamayacağı kadar farklı hissettiğimi düşünürüm.,4
41,Duygusal ihtiyaçlarımı karşılamadan başka şeylere odaklanmak benim için zordur.,4
42,Sık sık başkalarının yanında bile yalnız ve tecrit edilmiş hissederim.,4
43,İç dünyamın görünüşünden çok daha derin ve karmaşık olduğunu düşünürüm.,4
44,Bazen duygularımı gizleyerek içimde yaşamayı tercih edebilirim.,4
45,Bilgi sahibi olmak beni güvenli hissettirir.,5
46,Yeni bir konu hakkında derinlemesine araştırma yapmayı severim.,5
47,Sorunları başkalarına ihtiyaç duymadan kendi başıma çözmeyi tercih ederim.,5
